Date,Boeing,McDonalds,Nike,Walmart
42614,122.620171,109.547089,56.931141,69.24115
42615,123.809555,109.955292,56.580074,68.917953
42619,125.53701,111.303261,55.985214,69.39325
42620,125.206596,110.989998,56.287514,68.499695
42621,125.452034,110.278038,54.775982,68.281052
42622,121.32695,108.768684,53.956833,66.826645
42625,122.82785,110.069191,54.619953,68.38562
42626,121.544052,108.911079,53.995838,67.929329
42627,120.515144,109.338249,53.761795,67.986374
42628,120.609528,110.24955,54.093361,68.822899
42629,119.59951,109.433174,53.810555,69.269676
42632,120.335785,109.366722,53.586269,68.528198
42633,120.628418,110.543846,53.508247,68.414139
42634,123.243187,110.999496,53.966587,68.623276
42635,124.479767,111.407684,54.034851,68.69931
42636,124.394814,111.227303,53.781303,68.775375
42639,123.252632,110.619774,53.049915,68.081436
42640,123.960587,110.952026,53.966587,68.756355
42641,124.819595,109.338249,51.928455,68.243027
42642,123.686844,108.968025,50.865505,67.235413
42643,124.357063,109.509125,51.343346,68.55674
42646,124.961197,108.825623,51.36285,68.452156
42647,124.838478,107.743454,50.845997,68.205009
42648,127.113419,107.65802,50.8265,68.12896
42649,126.886848,108.142159,50.738728,65.933098
42650,126.348816,107.695992,50.504692,65.305687
42653,128.227264,108.89209,50.504692,64.621277
42654,126.244987,107.914322,50.533939,64.060425
42655,125.697464,108.89209,51.138557,64.126976
42656,125.905167,109.556572,50.738728,64.858917
42657,126.018417,108.303535,50.338905,65.068047
42660,126.490387,106.708755,49.763554,64.849403
42661,127.528778,105.607574,49.948833,65.467308
42662,128.548203,105.617065,50.514442,65.48632
42663,128.227264,104.962067,50.602203,65.334213
42664,128.029068,108.151649,50.485184,64.963501
42667,129.74707,107.809906,50.582703,65.771492
42668,131.229095,107.003029,49.783054,65.933098
42669,137.383667,106.42395,50.680214,66.151726
42670,135.278656,106.395477,50.602203,66.379875
42671,134.995453,106.414459,50.728981,66.53196
42674,134.447952,106.860626,48.934647,66.560478
42675,134.429108,106.556854,48.388538,65.87606
42676,132.862106,106.689758,48.486061,66.018646
42677,132.173035,106.053749,48.495811,66.189751
42678,131.719925,105.408226,48.7201,65.742973
42681,135.014313,107.097946,49.64653,66.332344
42682,135.261658,108.322525,49.812313,66.34185
42683,139.076691,109.148392,49.851311,67.587112
42684,141.568954,108.70224,49.139431,67.862801
42685,142.364563,108.426949,49.510006,67.710709
42688,143.773621,111.882317,48.963902,67.007256
