Date,Closing Value
42004,1204.699951
42003,1213.050049
42002,1219.109985
41999,1215.209961
41997,1206.780029
41996,1202.439941
41995,1201.859985
41992,1195.959961
41991,1192.160034
41990,1174.839966
41989,1139.369995
41988,1140.300049
41985,1152.439941
41984,1166.959961
41983,1161.859985
41982,1188.060059
41981,1167.209961
41978,1182.430054
41977,1173.01001
41976,1179.01001
41975,1168.449951
41974,1154.050049
41971,1173.22998
41969,1190.619995
41968,1186.329956
41967,1186.939941
41964,1172.420044
41963,1170.75
41962,1157.689941
41961,1170.280029
41960,1164.22998
41957,1173.810059
41956,1175.420044
41955,1186.469971
41954,1179.959961
41953,1179.569946
41950,1173.319946
41949,1171.859985
41948,1167.069946
41947,1165.420044
41946,1170.199951
41943,1173.51001
41942,1155.77002
41941,1146.369995
41940,1149.449951
41939,1117.47998
41936,1118.819946
41935,1116.48999
41934,1096.869995
41933,1112.849976
41932,1094.969971
41929,1082.329956
41928,1086.109985
41927,1072.449951
41926,1061.599976
41925,1049.300049
41922,1053.319946
41921,1067.98999
41920,1097.119995
41919,1076.310059
41918,1094.650024
41915,1104.73999
41914,1096.380005
41913,1085.410034
41912,1101.680054
41911,1117.910034
41908,1119.329956
41907,1110.23999
41906,1128.310059
41905,1118.719971
41904,1129.359985
41901,1146.920044
41900,1159.27002
41899,1153.890015
41898,1150.969971
41897,1146.52002
41894,1160.609985
41893,1172.339966
41892,1164.98999
41891,1158.5
41890,1172.310059
41887,1170.130005
41886,1167.209961
41885,1172.199951
41884,1179.469971
41880,1174.349976
41879,1165.949951
41878,1172.709961
41877,1175.170044
41876,1165.219971
41873,1160.339966
41872,1160.030029
41871,1157.51001
41870,1162.469971
41869,1158.400024
41866,1141.650024
41865,1143.339966
41864,1141.780029
41863,1133.030029
41862,1141.930054
41859,1131.349976
41858,1119.76001
41857,1125.550049
41856,1121.560059
41855,1124.819946
41852,1114.859985
41851,1120.069946
41850,1146.569946
41849,1141.640015
41848,1139.5
41845,1144.719971
41844,1156.26001
41843,1158.109985
41842,1156.150024
41841,1146.660034
41838,1151.609985
41837,1133.599976
41836,1151.550049
41835,1153.810059
41834,1167.209961
41831,1159.930054
41830,1161.859985
41829,1173.810059
41828,1172.150024
41827,1186.73999
41823,1208.150024
41822,1199.5
41821,1205.949951
41820,1192.959961
41817,1189.5
41816,1180.709961
41815,1182.680054
41814,1173.23999
41813,1184.949951
41810,1188.430054
41809,1184.030029
41808,1183.130005
41807,1176.619995
41806,1166.819946
41803,1162.680054
41802,1159.400024
41801,1166.709961
41800,1172.709961
41799,1175.880005
41796,1165.209961
41795,1153.939941
41794,1131.219971
41793,1126.150024
41792,1128.900024
41789,1134.5
41788,1140.069946
41787,1136.680054
41786,1142.199951
41782,1126.189941
41781,1113.869995
41780,1103.630005
41779,1097.900024
41778,1114.430054
41775,1102.910034
41774,1095.98999
41773,1103.140015
41772,1121.160034
41771,1133.650024
41768,1107.219971
41767,1097.430054
41766,1108.550049
41765,1108.01001
41764,1126.300049
41761,1128.800049
41760,1125.969971
41759,1126.859985
41758,1120.829956
41757,1117.060059
41754,1123.030029
41753,1144.349976
41752,1147.079956
41751,1155.609985
41750,1142.310059
41746,1137.900024
41745,1131.77002
41744,1119.48999
41743,1115.349976
41740,1111.439941
41739,1127.660034
41738,1159.959961
41737,1144.23999
41736,1135.780029
41733,1153.380005
41732,1181.119995
41731,1192.810059
41730,1188.699951
41729,1173.040039
41726,1151.810059
41725,1151.439941
41724,1155.48999
41723,1178.050049
41722,1178.22998
41719,1193.72998
41718,1198.969971
41717,1195.660034
41716,1205.040039
41715,1188.22998
41712,1181.410034
41711,1176.73999
41710,1191.369995
41709,1187.050049
41708,1200.540039
41705,1203.319946
41704,1204.540039
41703,1205.910034
41702,1208.650024
41701,1176.359985
41698,1183.030029
41697,1187.939941
41696,1181.719971
41695,1173.949951
41694,1174.550049
41691,1164.630005
41690,1162.119995
41689,1149.069946
41688,1161.47998
41684,1149.209961
41683,1147.790039
41682,1132.540039
41681,1129.160034
41680,1118.72998
41677,1116.550049
41676,1103.930054
41675,1093.589966
41674,1102.839966
41673,1094.579956
41670,1130.880005
41669,1139.359985
41668,1122.449951
41667,1138.23999
41666,1127.72998
41663,1144.130005
41662,1172.400024
41661,1181.290039
41660,1175.719971
41656,1168.430054
41655,1173.130005
41654,1171.349976
41653,1163.430054
41652,1148.089966
41649,1164.530029
41648,1158.349976
41647,1157.459961
41646,1157.630005
41645,1147.160034
41642,1156.089966
41641,1150.719971
41639,1163.640015
41638,1160.589966
41635,1161.089966
41634,1162.650024
41632,1161.800049
41631,1157.219971
41628,1146.469971
41627,1125.449951
41626,1133.719971
41625,1118.890015
41624,1119.849976
41621,1107.050049
41620,1103.27002
41619,1101.5
41618,1119.689941
41617,1129.459961
41614,1131.380005
41613,1122.469971
41612,1121.380005
41611,1123.780029
41610,1129.119995
41607,1142.890015
41605,1141.329956
41604,1134.530029
41603,1124.719971
41600,1124.920044
41599,1119.619995
41598,1099.790039
41597,1101.380005
41596,1107.290039
41593,1116.199951
41592,1111.439941
41591,1112.180054
41590,1101.469971
41589,1101.5
41586,1099.969971
41585,1079.089966
41584,1098.630005
41583,1103.589966
41582,1108.280029
41579,1095.670044
41578,1100.150024
41577,1105.5
41576,1121.069946
41575,1117.969971
41572,1118.339966
41571,1118.849976
41570,1110.930054
41569,1115.630005
41568,1112.47998
41565,1114.77002
41564,1102.27002
41563,1092.420044
41562,1079.619995
41561,1090.300049
41558,1084.310059
41557,1069.5
41556,1043.459961
41555,1047.26001
41554,1065.790039
41551,1078.25
41550,1070.900024
41549,1082.550049
41548,1087.430054
41547,1073.790039
41544,1074.189941
41543,1078.410034
41542,1073.51001
41541,1074.680054
41540,1072.130005
41537,1072.829956
41536,1075.27002
41535,1076.969971
41534,1066.390015
41533,1056.25
41530,1053.97998
41529,1048.47998
41528,1055.339966
41527,1055.719971
41526,1046.079956
41523,1029.550049
41522,1028.689941
41521,1025.579956
41520,1016.26001
41516,1010.900024
41515,1026.939941
41514,1016.5
41513,1013.48999
41512,1038.469971
41509,1038.23999
41508,1036.199951
41507,1021.580017
41506,1028.569946
41505,1013.25
41502,1024.300049
41501,1027.609985
41500,1047.800049
41499,1051.98999
41498,1053.670044
41495,1048.400024
41494,1049.469971
41493,1044.339966
41492,1052.140015
41491,1063.01001
41488,1059.859985
41487,1059.880005
41486,1045.26001
41485,1043.51001
41484,1040.660034
41481,1048.51001
41480,1054.180054
41479,1043.829956
41478,1052.199951
41477,1053.410034
41474,1050.47998
41473,1050.27002
41472,1042.530029
41471,1038.75
41470,1043.300049
41467,1036.52002
41466,1033.180054
41465,1020.419983
41464,1018.049988
41463,1009.25
41460,1005.390015
41458,991.130005
41457,989.469971
41456,989.840027
41453,977.47998
41452,979.919983
41451,963.830017
41450,961.26001
41449,951.049988
41446,963.679993
41445,960.52002
41444,986.5
41443,999.98999
41442,987.840027
41439,981.380005
41438,989.690002
41437,972.309998
41436,981.450012
41435,992.669983
41432,987.619995
41431,979.460022
41430,968.159973
41429,981.969971
41428,990.530029
41425,984.150024
41424,994.429993
41423,986.960022
41422,997.349976
41418,984.280029
41417,984.280029
41416,982.26001
41415,998.780029
41414,997.97998
41411,996.280029
41410,985.340027
41409,988.539978
41408,985.960022
41407,973.789978
41404,975.159973
41403,966.26001
41402,970.409973
41401,967.820007
41400,959.799988
41397,954.419983
41396,939.849976
41395,924.210022
41394,947.460022
41393,942.429993
41390,935.25
41389,940.280029
41388,934.109985
41387,929.359985
41386,914.799988
41383,912.5
41382,901.51001
41381,906.799988
41380,923.299988
41379,907.179993
41376,942.849976
41375,947.049988
41374,946.090027
41373,929.340027
41372,931.48999
41369,923.280029
41368,925.659973
41367,918.710022
41366,934.299988
41365,938.789978
41361,951.539978
41360,950.23999
41359,949.820007
41358,945.849976
41355,946.27002
41354,943.919983
41353,951.950012
41352,942.849976
41351,947.200012
41348,952.47998
41347,953.070007
41346,943.900024
41345,940.26001
41344,942.51001
41341,942.5
41340,934.570007
41339,929.960022
41338,927.400024
41337,916.679993
